Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Search Intent,Funnel Stage
industrial cleaning services near me,PKR,50.0,,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
hire cleaning service,PKR,50.0,0.0,0.0,Low,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
business cleaning services near me,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning people near me,PKR,50.0,,,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
industrial cleaners,PKR,50.0,0.0,0.0,Low,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaning services near me prices,PKR,50.0,0.0,0.0,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
janitorial cleaning services,PKR,50.0,0.0,0.0,Low,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best maid service near me,PKR,50.0,0.0,0.0,Low,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
best home cleaning services near me,PKR,50.0,0.0,0.0,Low,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
cleaning maids near me,PKR,50.0,0.0,0.0,High,79.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning company near me,PKR,50.0,0.0,0.0,Low,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaners near me prices,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial deep cleaning services,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
company cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
monthly cleaning service,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning contractors,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office janitorial services near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
janitorial cleaning services near me,PKR,50.0,0.0,,Low,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office deep cleaning services,PKR,50.0,0.0,0.0,Low,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office carpet cleaning,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
hire cleaner,PKR,50.0,0.0,0.0,Low,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best house cleaners near me,PKR,50.0,0.0,0.0,Low,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
office carpet cleaning services,PKR,50.0,0.0,0.0,Medium,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best cleaning services near me,PKR,50.0,0.0,0.0,Low,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
house cleaning cost,PKR,50.0,0.0,0.0,Low,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
business cleaning companies near me,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
maid service cost,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office cleaning service near me,PKR,50.0,0.0,0.0,Low,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best carpet cleaning service near me,PKR,50.0,0.0,,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
best deep house cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
best carpet cleaning,PKR,50.0,0.0,0.0,Low,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
cleaning help near me,PKR,50.0,0.0,,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaning quotes,PKR,50.0,0.0,0.0,Low,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
companies looking for cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning maids,PKR,50.0,0.0,0.0,Low,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning contractors near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning service today,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
construction cleaning services near me,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid cleaning,PKR,50.0,0.0,0.0,Low,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
hire house cleaner,PKR,50.0,0.0,,Medium,46.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep carpet cleaning near me,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
maid service near me prices,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
industrial cleaning companies near me,PKR,50.0,,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house deep cleaning service cost,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa upholstery cleaner,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaning rates,PKR,50.0,0.0,0.0,Low,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep clean couch service,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house keeper service,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning building services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services for business,PKR,50.0,0.0,0.0,Low,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house carpet cleaning,PKR,50.0,,,Medium,38.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep clean carpet service,PKR,50.0,0.0,,High,86.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaning maid service,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
offices that need cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best carpet cleaning service,PKR,50.0,,0.0,Low,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
carpet and sofa cleaning,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep cleaning house cost,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
upholstery cleaning company,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet and upholstery cleaning near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep cleaning house near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cost of cleaning service,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
corporate cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaning house services near me,PKR,50.0,0.0,,High,93.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
hire cleaning service near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
hire cleaners near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial cleaning quotes,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
regular house cleaning service,PKR,50.0,,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning home services near me,PKR,50.0,,,Medium,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
full house cleaning,PKR,50.0,0.0,0.0,High,86.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial carpet cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
whole house cleaning service,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
facility cleaning services,PKR,50.0,0.0,0.0,Low,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
factory cleaning services,PKR,50.0,0.0,0.0,Low,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
business that need cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
flat cleaning services near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
top rated cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
office chair cleaning services,PKR,50.0,0.0,0.0,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office cleaning quotes,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
curtain washing service,PKR,50.0,0.0,0.0,Medium,61.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial building cleaning,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sanitation cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning commercial,PKR,50.0,0.0,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet and furniture cleaning near me,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
fabric sofa cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
building cleaning services near me,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house cleaning service cost,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning contractor,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet shampoo company near me,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
apartment deep cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
looking for cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
top cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
commercial janitorial,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
furniture deep cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
offices looking for cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
regular cleaning service,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
going rate for house cleaning,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaning services for seniors,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services quotes,PKR,50.0,0.0,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial cleaning rates,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial janitorial companies near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
mattress cleaning company,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
corporate cleaners,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
big cleaning companies,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep clean sofa service,PKR,50.0,,,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home sanitizing service,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaning commercial services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
monthly house cleaning,PKR,50.0,,0.0,Low,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
kitchen cleaning company,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
floor cleaning services commercial,PKR,50.0,0.0,,Low,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
janitorial near me,PKR,50.0,0.0,0.0,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning homes,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning contractors,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial janitorial companies,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
monthly maid service,PKR,50.0,,0.0,Low,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial property cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
furniture cleaners upholstery cleaning,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaners for seniors,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
hire cleaner near me,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
complete house cleaning,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
heavy cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaner near me,PKR,50.0,0.0,0.0,Medium,49.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
best office cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
sofa and mattress cleaning,PKR,50.0,0.0,0.0,Medium,51.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
best home cleaning services,PKR,50.0,0.0,0.0,Low,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
cleaning service price list,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep clean cleaning service,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
companies looking for commercial cleaners,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
need house cleaner,PKR,50.0,0.0,0.0,High,71.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office building cleaning,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning services rates,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial office cleaning companies near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
hospital cleaning services,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best commercial cleaning services,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
curtain dry clean,PKR,50.0,0.0,0.0,Low,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
maid cost,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning homes near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
dirty house cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial cleaning solutions,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa dry cleaning service,PKR,50.0,,0.0,Medium,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
daily cleaning services,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best commercial cleaning products,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
home maid cleaning,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
janitorial cleaning companies near me,PKR,50.0,0.0,,Low,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
post cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office cleaning agency,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
chair cleaning services near me,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
bedroom cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa and carpet cleaning services,PKR,50.0,0.0,0.0,Medium,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid house cleaning,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
top rated carpet cleaners near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
quality cleaning service,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office building cleaning services,PKR,50.0,0.0,0.0,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house cleaning maids near me,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning rates,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep cleaning services for seniors,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial cleaning services list,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
offices that need cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
furniture and carpet cleaning,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa dry cleaning services near me,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house cleaning help,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
furniture dry cleaning near me,PKR,50.0,0.0,0.0,High,86.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning company start up,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
industrial floor cleaning services,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
reliable cleaning services,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep kitchen cleaning services near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
studio cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
equipment for cleaning services,PKR,50.0,,,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid cleaner,PKR,50.0,0.0,0.0,Low,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet cleaning people,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
corporate office cleaning,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaning for seniors near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning service rates,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office carpet cleaning services near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial office cleaners near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
filthy house cleaning service near me,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
daily house cleaning services,PKR,50.0,0.0,,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home cleaning services near me prices,PKR,50.0,0.0,,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid for cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house keeping prices,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
construction house cleaning,PKR,50.0,,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
general house cleaning,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa shampoo cleaning,PKR,50.0,0.0,0.0,Medium,51.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
wall cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
full house deep cleaning,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial deep cleaning services near me,PKR,50.0,,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office janitorial services,PKR,50.0,0.0,0.0,Low,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
industrial house cleaning,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
in house cleaning services,PKR,50.0,0.0,0.0,Low,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best home cleaners near me,PKR,50.0,,,Low,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
cleaning company for business,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
